Simulation Result,Success

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
10,'0001010010010111110011001100,true,true,true,false,true,false,Center,Center,Center,UpperFront,LowerBack,Center,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -212.225,    83.142,   -20.000,   -76.090,   133.797,  -161.116,    21.910,   136.197,   -20.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -113.137,   113.137,  -160.000,   -76.090,   133.797,  -161.116,   113.137,   113.137,  -161.116,ComUpDown,    18.874,Success,,
11,'0001010010010111110011001100,true,true,true,false,true,false,Center,Center,Center,UpperFront,LowerBack,Center,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -212.225,    83.142,   -20.000,   -76.090,   133.797,  -161.116,    21.910,   136.197,   -20.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -113.137,   113.137,  -160.000,   -76.090,   133.797,  -161.116,   113.137,   113.137,  -161.116,ComMove,    20.295,Success,,
12,'0001010010010111110011001100,true,true,true,false,true,false,Center,Center,Center,UpperFront,LowerBack,Center,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -212.225,    83.142,   -20.000,   -76.090,   133.797,  -161.116,    21.910,   136.197,   -20.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -113.137,   113.137,  -160.000,   -76.090,   133.797,  -161.116,   113.137,   113.137,  -161.116,LegHierarchyChange,     6.363,Success,,
13,'0001000110010111110011001100,true,true,true,false,true,false,Center,Center,Center,UpperFront,LowerBack,LowerBack,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -212.225,    83.142,   -20.000,   -76.090,   133.797,  -161.116,    21.910,   136.197,   -20.000,    21.318,  -160.625,  -160.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,  -161.116,  -113.137,   113.137,  -160.000,   -76.090,   133.797,  -161.116,   113.137,   113.137,  -161.116,LegUpDown,   132.009,Success,,
14,'0001100110010111010011000100,false,true,false,false,true,true,Center,Center,Center,UpperFront,LowerBack,LowerBack,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,   -20.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,   -20.000,  -212.225,    83.142,   -20.000,   -76.090,   133.797,  -161.116,    21.910,   156.197,  -161.116,   113.137,  -113.137,  -160.000,     3.910,  -159.403,  -161.116,  -113.137,  -113.137,  -161.116,  -113.137,   113.137,  -160.000,   -76.090,   133.797,  -161.116,    21.910,   156.197,  -161.116,ComUpDown,    28.859,Success,,
15,'0001100110010111010011000100,false,true,false,false,true,true,Center,Center,Center,UpperFront,LowerBack,LowerBack,Front,    76.090,    22.803,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,   -20.000,     3.910,  -159.403,  -161.116,  -134.090,   -41.803,   -20.000,  -212.225,    83.142,   -20.000,   -76.090,   133.797,  -161.116,    21.910,   156.197,  -161.116,   113.137,  -113.137,  -160.000,     3.910,  -159.403,  -161.116,  -113.137,  -113.137,  -161.116,  -113.137,   113.137,  -160.000,   -76.090,   133.797,  -161.116,    21.910,   156.197,  -161.116,ComMove,   158.515,Success,,
16,'0001110011000100010011000100,false,true,false,false,true,true,Center,Center,Center,Center,Center,Center,Front,    84.038,    23.316,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,   -20.000,    -4.038,  -159.916,  -161.116,  -134.090,   -41.803,   -20.000,  -212.225,    83.142,   -20.000,   -84.038,   133.284,  -161.116,    13.962,   155.684,  -161.116,   113.137,  -113.137,  -160.000,    -4.038,  -159.916,  -161.116,  -113.137,  -113.137,  -161.116,  -113.137,   113.137,  -160.000,   -84.038,   133.284,  -161.116,    13.962,   155.684,  -161.116,LegHierarchyChange,    22.079,Success,,
17,'0001110011000111010111000111,false,true,false,false,true,true,UpperFront,Center,LowerFront,UpperFront,Center,Center,Front,    84.038,    23.316,   160.000,     1.000,     0.000,     0.000,     0.000,    21.318,  -160.625,   -20.000,    -4.038,  -159.916,  -161.116,  -134.090,   -41.803,   -20.000,  -212.225,    83.142,   -20.000,   -84.038,   133.284,  -161.116,    13.962,   155.684,  -161.116,   113.137,  -113.137,  -160.000,    -4.038,  -159.916,  -161.116,  -113.137,  -113.137,  -161.116,  -113.137,   113.137,  -160.000,   -84.038,   133.284,  -161.116,    13.962,   155.684,  -161.116,LegUpDown,   478.733,Success,,
18,'0001010011000111110101001111,true,false,true,false,true,false,UpperFront,Center,LowerFront,UpperFront,Center,Center,Front,    84.038,    23.316,   160.000,     1.000,     0.000,     0.000,     0.000,   233.962,   -22.316,   -31.116,    -4.038,  -159.916,   -20.000,   -22.038,  -142.316,  -161.116,  -212.225,    83.142,   -20.000,   -84.038,   133.284,  -161.116,    13.962,   155.684,   -20.000,   233.962,   -22.316,   -31.116,    -0.000,  -160.000,  -161.116,   -22.038,  -142.316,  -161.116,  -113.137,   113.137,  -160.000,   -84.038,   133.284,  -161.116,   113.137,   113.137,  -161.116,ComUpDown,    10.166,Success,,
19,'0001010011000111110101001111,true,false,true,false,true,false,UpperFront,Center,LowerFront,UpperFront,Center,Center,Front,    84.038,    23.316,   160.000,     1.000,     0.000,     0.000,     0.000,   233.962,   -22.316,   -31.116,    -4.038,  -159.916,   -20.000,   -22.038,  -142.316,  -161.116,  -212.225,    83.142,   -20.000,   -84.038,   133.284,  -161.116,    13.962,   155.684,   -20.000,   233.962,   -22.316,   -31.116,    -0.000,  -160.000,  -161.116,   -22.038,  -142.316,  -161.116,  -113.137,   113.137,  -160.000,   -84.038,   133.284,  -161.116,   113.137,   113.137,  -161.116,ComMove,    24.503,Success,,
