number,x,y,z
293,-360,860,0
294,-360,880,0
295,-360,900,0
296,-360,920,0
297,-360,940,0
298,-360,960,0
299,-360,980,0
300,-340,-1000,0
301,-340,-980,0
302,-340,-960,0
303,-340,-940,0
304,-340,-920,0
305,-340,-900,0
306,-340,-880,0
307,-340,-860,0
308,-340,-840,0
309,-340,-820,0
310,-340,-800,0
311,-340,-780,0
312,-340,-760,0
313,-340,-740,0
314,-340,-720,0
315,-340,-700,0
316,-340,-680,0
317,-340,-660,0
318,-340,-640,0
319,-340,-620,0
320,-340,-600,0
321,-340,-580,0
322,-340,-560,0
323,-340,-540,0
324,-340,-520,0
325,-340,-500,0
326,-340,-480,0
327,-340,-460,0
328,-340,-440,0
329,-340,-420,0
330,-340,-400,0
331,-340,-380,0
332,-340,-360,0
333,-340,-340,0
334,-340,-320,0
335,-340,-300,0
336,-340,-280,0
337,-340,-260,0
338,-340,-240,0
339,-340,-220,0
340,-340,-200,0
341,-340,-180,0
342,-340,-160,0
343,-340,-140,0
344,-340,-120,0
345,-340,-100,0
346,-340,-80,0
347,-340,-60,0
348,-340,-40,0
349,-340,-20,0
350,-340,0,0
351,-340,20,0
352,-340,40,0
353,-340,60,0
354,-340,80,0
355,-340,100,0
356,-340,120,0
357,-340,140,0
358,-340,160,0
359,-340,180,0
360,-340,200,0
361,-340,220,0
362,-340,240,0
363,-340,260,0
364,-340,280,0
365,-340,300,0
366,-340,320,0
367,-340,340,0
368,-340,360,0
369,-340,380,0
370,-340,400,0
371,-340,420,0
372,-340,440,0
373,-340,460,0
374,-340,480,0
375,-340,500,0
376,-340,520,0
377,-340,540,0
378,-340,560,0
379,-340,580,0
380,-340,600,0
381,-340,620,0
382,-340,640,0
383,-340,660,0
384,-340,680,0
385,-340,700,0
386,-340,720,0
387,-340,740,0
388,-340,760,0
389,-340,780,0
390,-340,800,0
391,-340,820,0
392,-340,840,0
393,-340,860,0
394,-340,880,0
395,-340,900,0
396,-340,920,0
397,-340,940,0
398,-340,960,0
399,-340,980,0
400,-320,-1000,0
401,-320,-980,0
402,-320,-960,0
403,-320,-940,0
404,-320,-920,0
405,-320,-900,0
406,-320,-880,0
407,-320,-860,0
408,-320,-840,0
409,-320,-820,0
410,-320,-800,0
411,-320,-780,0
412,-320,-760,0
413,-320,-740,0
414,-320,-720,0
415,-320,-700,0
416,-320,-680,0
417,-320,-660,0
418,-320,-640,0
419,-320,-620,0
420,-320,-600,0
421,-320,-580,0
422,-320,-560,0
423,-320,-540,0
424,-320,-520,0
425,-320,-500,0
426,-320,-480,0
427,-320,-460,0
428,-320,-440,0
429,-320,-420,0
430,-320,-400,0
431,-320,-380,0
432,-320,-360,0
433,-320,-340,0
434,-320,-320,0
435,-320,-300,0
436,-320,-280,0
437,-320,-260,0
438,-320,-240,0
439,-320,-220,0
440,-320,-200,0
441,-320,-180,0
442,-320,-160,0
443,-320,-140,0
444,-320,-120,0
445,-320,-100,0
446,-320,-80,0
447,-320,-60,0
448,-320,-40,0
449,-320,-20,0
450,-320,0,0
451,-320,20,0
452,-320,40,0
453,-320,60,0
454,-320,80,0
455,-320,100,0
456,-320,120,0
457,-320,140,0
458,-320,160,0
459,-320,180,0
460,-320,200,0
461,-320,220,0
462,-320,240,0
463,-320,260,0
464,-320,280,0
465,-320,300,0
466,-320,320,0
467,-320,340,0
468,-320,360,0
469,-320,380,0
470,-320,400,0
471,-320,420,0
472,-320,440,0
473,-320,460,0
474,-320,480,0
475,-320,500,0
476,-320,520,0
477,-320,540,0
478,-320,560,0
479,-320,580,0
480,-320,600,0
481,-320,620,0
482,-320,640,0
483,-320,660,0
484,-320,680,0
485,-320,700,0
486,-320,720,0
487,-320,740,0
488,-320,760,0
489,-320,780,0
490,-320,800,0
491,-320,820,0
492,-320,840,0
493,-320,860,0
